antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'regulation', 'and compliance'})",frozenset({'law'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,"and compliance, regulation",law
frozenset({'and compliance'}),frozenset({'regulation'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,and compliance,regulation
frozenset({'regulation'}),frozenset({'and compliance'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,regulation,and compliance
"frozenset({'and compliance', 'law'})",frozenset({'regulation'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,"and compliance, law",regulation
frozenset({'regulation'}),"frozenset({'and compliance', 'law'})",0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,regulation,"and compliance, law"
frozenset({'and compliance'}),"frozenset({'regulation', 'law'})",0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,and compliance,"law, regulation"
frozenset({'law'}),"frozenset({'regulation', 'and compliance'})",0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,law,"and compliance, regulation"
frozenset({'and compliance'}),frozenset({'law'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,and compliance,law
frozenset({'law'}),frozenset({'and compliance'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,law,and compliance
frozenset({'regulation'}),frozenset({'law'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,regulation,law
